Bot_Start_Date,Bot_Start_Time,Arb_Time,Exchange,Initial_USD,First_Market,Second_Market,Third_Market,Spread,Estimated_Profit
2020-08-01,15:26:28.806799,2020-08-01 15:45:59.090555,Binance,10,MKR/BNB,MKR/BTC,BNB/BTC,0.0010580726524359817,0.06078413994020426
2020-08-01,15:26:28.806799,2020-08-01 15:46:05.167823,Binance,2.2894701914204343,MTL/ETH,MTL/BTC,ETH/BTC,0.006845513166451056,0.020289808579565593
2020-08-01,15:26:28.806799,2020-08-01 15:46:14.095099,Binance,4.769759392,NEBL/BNB,NEBL/BTC,BNB/BTC,0.0043632319710112085,0.035212070952645856
2020-08-01,15:26:28.806799,2020-08-01 15:46:17.103972,Binance,10,NEO/BNB,NEO/BTC,BNB/BTC,0.0018224366368498224,0.06846611290622695
2020-08-01,15:26:28.806799,2020-08-01 15:46:24.590015,Binance,1.2644992326268418,NKN/BNB,NKN/BTC,BNB/BTC,0.007169487537232317,0.011616767373157796
2020-08-01,15:26:28.806799,2020-08-01 15:46:33.593965,Binance,4.0438594938,OGN/BNB,OGN/BTC,BNB/BTC,0.00041622109366690847,0.017905846633837628
2020-08-01,15:26:28.806799,2020-08-01 15:46:38.091707,Binance,2.8087062822,ONE/BNB,ONE/BTC,BNB/BTC,0.008253828368314444,0.0345385106631166
2020-08-01,15:26:28.806799,2020-08-01 15:46:47.146888,Binance,10,ONT/BNB,ONT/BTC,BNB/BTC,0.0014389539311316923,0.06461205405686954
2020-08-01,15:26:28.806799,2020-08-01 15:46:57.596907,Binance,10,PERL/BNB,PERL/BTC,BNB/BTC,0.0020728647765787755,0.07098295336255278
2020-08-01,15:26:28.806799,2020-08-01 15:47:20.599891,Binance,10,QKC/ETH,QKC/BTC,ETH/BTC,0.015600139831601112,0.20693410150081526
2020-08-01,15:26:28.806799,2020-08-01 15:47:35.588034,Binance,10,RLC/BNB,RLC/BTC,BNB/BTC,0.0067963421321291404,0.11845461096396503
2020-08-01,15:26:28.806799,2020-08-01 15:47:40.426830,Binance,10,RUNE/BNB,RUNE/BTC,BNB/BTC,0.0006982742690182064,0.05716811209092176
2020-08-01,15:26:28.806799,2020-08-01 15:47:47.102975,Binance,0.423694,SC/BNB,SC/BTC,BNB/BTC,0.023211798179910134,0.012008861250529626
2020-08-01,15:26:28.806799,2020-08-01 15:47:54.093817,Binance,10,SNT/ETH,SNT/BTC,ETH/BTC,0.003851392748617677,0.0888574268844744
2020-08-01,15:26:28.806799,2020-08-01 15:47:57.093461,Binance,0.41898356059999997,SNX/BNB,SNX/BTC,BNB/BTC,0.00041055722243902096,0.001432002590184088
2020-08-01,15:26:28.806799,2020-08-01 15:48:04.103116,Binance,10,STMX/BNB,STMX/BTC,BNB/BTC,0.021459993997132366,0.2658265168975871
2020-08-01,15:26:28.806799,2020-08-01 15:48:07.108315,Binance,0.011579395170932628,STORJ/BTC,STORJ/BUSD,BTC/BUSD,0.016636050660136185,0.0002162148290673698
2020-08-01,15:26:28.806799,2020-08-01 15:48:10.113098,Binance,10,STORJ/ETH,STORJ/BTC,ETH/BTC,0.0028082380899215665,0.07837356572554244
2020-08-01,15:26:28.806799,2020-08-01 15:48:21.094048,Binance,10,SXP/BNB,SXP/BTC,BNB/BTC,0.0017009623151336584,0.06724527770923583
2020-08-01,15:26:28.806799,2020-08-01 15:48:33.088669,Binance,2.945725160437895,THETA/BNB,THETA/BTC,BNB/BTC,0.004323902352183963,0.01866283956210556
2020-08-01,15:26:28.806799,2020-08-01 15:48:39.107329,Binance,1.690124644,TOMO/BNB,TOMO/BTC,BNB/BTC,0.004624239471351106,0.012919566291576616
2020-08-01,15:26:28.806799,2020-08-01 15:48:45.175402,Binance,10,TROY/BNB,TROY/BTC,BNB/BTC,0.016694284535915215,0.21793042028459553
2020-08-01,15:26:28.806799,2020-08-01 15:48:54.677491,Binance,6.1473168,TRX/XRP,TRX/BNB,XRP/BNB,0.0016384416159669587,0.034763272202167385
